,TEAM,FROM,TO,URL
2727,San Antonio Spurs,1989,1989,/players/c/comegda01.html
2728,Baltimore Bullets,1964,1964,/players/c/comlela01.html
2729,Anaheim Amigos,1968,1968,/players/c/congdje01.html
2730,Denver Rockets,1968,1969,/players/c/congdje01.html
2731,Denver Rockets,1968,1970,/players/c/congdje01.html
2732,Utah Stars,1971,1971,/players/c/congdje01.html
2733,New York Nets,1971,1971,/players/c/congdje01.html
2734,Dallas Chaparrals,1972,1972,/players/c/congdje01.html
2735,Dallas Chaparrals,1972,1972,/players/c/congdje01.html
2736,Boston Celtics,1953,1961,/players/c/conlege01.html
2737,New York Knicks,1963,1964,/players/c/conlege01.html
2738,Kentucky Colonels,1968,1968,/players/c/conlela01.html
2739,Memphis Grizzlies,2008,2019,/players/c/conlemi01.html
2740,Utah Jazz,2020,2021,/players/c/conlemi01.html
2741,Utah Jazz,2022,2022,/players/c/conlemi01.html
2742,Syracuse Nationals,1956,1958,/players/c/conlied01.html
2743,Syracuse Nationals,1958,1959,/players/c/conlied01.html
2744,Detroit Pistons,1959,1960,/players/c/conlied01.html
2745,Philadelphia Warriors,1961,1962,/players/c/conlied01.html
2746,Seattle SuperSonics,1992,1992,/players/c/conloma01.html
2747,Sacramento Kings,1993,1993,/players/c/conloma01.html
2748,Charlotte Hornets,1994,1994,/players/c/conloma01.html
2749,Washington Bullets,1994,1994,/players/c/conloma01.html
2750,Milwaukee Bucks,1995,1996,/players/c/conloma01.html
2751,Boston Celtics,1997,1997,/players/c/conloma01.html
2752,Miami Heat,1998,1999,/players/c/conloma01.html
2753,Los Angeles Clippers,2000,2000,/players/c/conloma01.html
2754,Portland Trail Blazers,2016,2018,/players/c/connapa01.html
2755,Milwaukee Bucks,2019,2022,/players/c/connapa01.html
2756,Kentucky Colonels,1976,1976,/players/c/conneji01.html
2757,Golden State Warriors,1983,1984,/players/c/connele01.html
2758,Golden State Warriors,1985,1986,/players/c/connele01.html
2759,Houston Rockets,1988,1988,/players/c/connele01.html
2760,New Jersey Nets,1989,1991,/players/c/connele01.html
2761,Milwaukee Bucks,1991,1992,/players/c/connele01.html
2762,Los Angeles Clippers,1993,1993,/players/c/connele01.html
2763,Indiana Pacers,1994,1994,/players/c/connele01.html
2764,Los Angeles Lakers,1995,1995,/players/c/connele01.html
2765,Boston Celtics,1947,1948,/players/c/connoch01.html
2766,Memphis Grizzlies,2007,2007,/players/c/conrowi01.html
2767,Los Angeles Clippers,2007,2007,/players/c/conrowi01.html
2768,Houston Rockets,2010,2010,/players/c/conrowi01.html
2769,Minnesota Timberwolves,2013,2013,/players/c/conrowi01.html
2770,Denver Nuggets,1991,1991,/players/c/cookan01.html
2771,Denver Nuggets,1992,1992,/players/c/cookan01.html
2772,Orlando Magic,1994,1994,/players/c/cookan01.html
2773,Milwaukee Bucks,1994,1994,/players/c/cookan01.html
2774,Portland Trail Blazers,1996,1996,/players/c/cookan01.html
2775,New York Knicks,1955,1955,/players/c/cookbe01.html
2776,Sheboygan Red Skins,1950,1950,/players/c/cookbo01.html
2777,Los Angeles Lakers,2004,2004,/players/c/cookbr01.html
2778,Los Angeles Lakers,2005,2008,/players/c/cookbr01.html
2779,Orlando Magic,2008,2009,/players/c/cookbr01.html
2780,Houston Rockets,2009,2010,/players/c/cookbr01.html
2781,Los Angeles Clippers,2011,2012,/players/c/cookbr01.html
2782,Washington Wizards,2012,2012,/players/c/cookbr01.html
2783,Miami Heat,2008,2010,/players/c/cookda02.html
2784,Oklahoma City Thunder,2011,2012,/players/c/cookda02.html
2785,Houston Rockets,2013,2013,/players/c/cookda02.html
2786,Chicago Bulls,2013,2013,/players/c/cookda02.html
2787,New Jersey Nets,1981,1986,/players/c/cookda01.html
2788,Washington Bullets,1987,1987,/players/c/cookda01.html
2789,San Antonio Spurs,1989,1989,/players/c/cookda01.html
2790,Denver Nuggets,1989,1989,/players/c/cookda01.html
2791,Phoenix Suns,1980,1988,/players/c/cookje01.html
2792,Cleveland Cavaliers,1983,1983,/players/c/cookje01.html
2793,Cleveland Cavaliers,1984,1985,/players/c/cookje01.html
2794,San Antonio Spurs,1985,1986,/players/c/cookje01.html
2795,Utah Jazz,1986,1986,/players/c/cookje01.html
2796,Boston Celtics,1977,1977,/players/c/cookno01.html
2797,Denver Nuggets,1978,1978,/players/c/cookno01.html
2798,Denver Nuggets,1978,1978,/players/c/cookno01.html
2799,Portland Trail Blazers,2004,2004,/players/c/cookom01.html
2800,Toronto Raptors,2005,2005,/players/c/cookom01.html
2801,Dallas Mavericks,2017,2017,/players/c/cookqu01.html
2802,New Orleans Pelicans,2017,2017,/players/c/cookqu01.html
2803,Golden State Warriors,2018,2019,/players/c/cookqu01.html
2804,Los Angeles Lakers,2020,20),/players/c/cookqu01.html
2805,Los Angeles Lakers,2020,2021,/players/c/cookqu01.html
2806,Cleveland Cavaliers,2021,2021,/players/c/cookqu01.html
2807,Cleveland Cavaliers,2020,2020,/players/c/cookty01.html
2808,Denver Nuggets,2020,2020,/players/c/cookty01.html
2809,Brooklyn Nets,2021,2021,/players/c/cookty01.html
2810,Detroit Pistons,2021,2021,/players/c/cookty01.html
2811,Chicago Bulls,2022,2022,/players/c/cookty01.html
2812,New Orleans Pelicans,2018,2018,/players/c/cookech01.html
2813,Sacramento Kings,1986,1986,/players/c/cookeda01.html
2814,Cleveland Cavaliers,1971,1971,/players/c/cookejo01.html
2815,Utah Jazz,2015,2015,/players/c/cooleja01.html
2816,Sacramento Kings,2018,2018,/players/c/cooleja01.html
2817,Boston Celtics,1951,1954,/players/c/coopech01.html
2818,Milwaukee Hawks,1955,1955,/players/c/coopech01.html
2819,St. Louis Hawks,1956,1956,/players/c/coopech01.html
2820,Fort Wayne Pistons,1956,1956,/players/c/coopech01.html
2821,Los Angeles Lakers,1993,1993,/players/c/coopedu01.html
2822,Phoenix Suns,1994,1994,/players/c/coopedu01.html
2823,New Jersey Nets,1982,1982,/players/c/coopejo01.html
2824,Los Angeles Lakers,1983,1983,/players/c/coopejo01.html
2825,Washington Bullets,1983,1983,/players/c/coopejo01.html
2826,San Diego Clippers,1983,1983,/players/c/coopejo01.html
2827,Seattle SuperSonics,1985,1985,/players/c/coopejo01.html
2828,Los Angeles Lakers,1979,1990,/players/c/coopemi01.html
2829,Atlanta Hawks,2022,2022,/players/c/coopesh01.html
2830,Golden State Warriors,1979,1980,/players/c/coopewa01.html
2831,Utah Jazz,1981,1981,/players/c/coopewa01.html
2832,Dallas Mavericks,1982,1982,/players/c/coopewa01.html
2833,Portland Trail Blazers,1983,1990,/players/c/coopewa01.html
2834,Denver Nuggets,1985,1986,/players/c/coopewa01.html
2835,Denver Nuggets,1987,1989,/players/c/coopewa01.html
2836,Portland Trail Blazers,1991,1992,/players/c/coopewa01.html
2837,San Antonio Spurs,1992,1992,/players/c/copato01.html
2838,New York Knicks,2013,2013,/players/c/copelch01.html
2839,Indiana Pacers,2014,2015,/players/c/copelch01.html
2840,Milwaukee Bucks,2016,2016,/players/c/copelch01.html
2841,New York Knicks,1980,1982,/players/c/copelho01.html
2842,Philadelphia 76ers,1990,1990,/players/c/copella01.html
2843,Los Angeles Clippers,1992,1992,/players/c/copella01.html
2844,San Antonio Spurs,1986,1987,/players/c/corbity01.html
2845,Cleveland Cavaliers,1987,1988,/players/c/corbity01.html
2846,Phoenix Suns,1988,1989,/players/c/corbity01.html
2847,Minnesota Timberwolves,1990,1992,/players/c/corbity01.html
2848,Utah Jazz,1992,1994,/players/c/corbity01.html
2849,Atlanta Hawks,1995,1995,/players/c/corbity01.html
2850,Sacramento Kings,1996,2000,/players/c/corbity01.html
2851,Miami Heat,1996,1996,/players/c/corbity01.html
2852,Atlanta Hawks,1997,1999,/players/c/corbity01.html
2853,Toronto Raptors,2001,2001,/players/c/corbity01.html
2854,Orlando Magic,1992,1993,/players/c/corchch01.html
2855,Washington Bullets,1993,1993,/players/c/corchch01.html
2856,Boston Celtics,1994,1994,/players/c/corchch01.html
2857,Syracuse Nationals,1950,1950,/players/c/corlera01.html
2858,Syracuse Nationals,1950,1950,/players/c/corlera01.html
2859,Tri-Cities Blackhawks,1951,"Cities Blackhawks, 1951",/players/c/corlera01.html
2860,Fort Wayne Pistons,1953,1953,/players/c/corlera01.html
2861,Denver Nuggets,2022,2022,/players/c/cornepe01.html
2862,Washington Bullets,1979,1980,/players/c/corzida01.html
2863,San Antonio Spurs,1981,1982,/players/c/corzida01.html
2864,Chicago Bulls,1983,1989,/players/c/corzida01.html
2865,Orlando Magic,1990,1990,/players/c/corzida01.html
2866,Seattle SuperSonics,1991,1991,/players/c/corzida01.html
2867,Philadelphia Warriors,1955,1955,/players/c/costela01.html
2868,Philadelphia Warriors,1957,1957,/players/c/costela01.html
2869,Syracuse Nationals,1958,1958,/players/c/costela01.html
2870,Syracuse Nationals,1958,1959,/players/c/costela01.html
2871,Syracuse Nationals,1960,1963,/players/c/costela01.html
2872,Philadelphia 76ers,1964,1968,/players/c/costela01.html
2873,San Antonio Spurs,2018,2018,/players/c/costema01.html
2874,Utah Jazz,2015,2015,/players/c/cottobr01.html
2875,Phoenix Suns,2016,2016,/players/c/cottobr01.html
2876,Memphis Grizzlies,2016,2016,/players/c/cottobr01.html
2877,Denver Nuggets,1950,1950,/players/c/cottoja01.html
2878,Seattle SuperSonics,1998,1999,/players/c/cottoja02.html
2879,Golden State Warriors,1980,1980,/players/c/coughjo01.html
2880,Boston Celtics,1965,1966,/players/c/countme01.html
2881,Baltimore Bullets,1967,1967,/players/c/countme01.html
2882,Los Angeles Lakers,1967,1967,/players/c/countme01.html
2883,Los Angeles Lakers,1968,1974,/players/c/countme01.html
2884,Phoenix Suns,1971,1972,/players/c/countme01.html
2885,Philadelphia 76ers,1973,1973,/players/c/countme01.html
2886,New Orleans Jazz,1975,1976,/players/c/countme01.html
2887,Philadelphia 76ers,1965,1965,/players/c/courtst01.html
2888,Chicago Bulls,1993,1993,/players/c/courtjo01.html
2889,Golden State Warriors,1993,1993,/players/c/courtjo01.html
2890,Phoenix Suns,1994,1994,/players/c/courtjo01.html
2891,Milwaukee Bucks,1994,1994,/players/c/courtjo01.html
2892,Cleveland Cavaliers,1996,1996,/players/c/courtjo01.html
2893,Philadelphia 76ers,1997,1997,/players/c/courtjo01.html
2894,San Antonio Spurs,1997,1997,/players/c/courtjo01.html
2895,Utah Jazz,2011,2011,/players/c/cousima01.html
2896,Sacramento Kings,2011,2015,/players/c/couside01.html
2897,Sacramento Kings,2016,2017,/players/c/couside01.html
2898,New Orleans Pelicans,2017,2018,/players/c/couside01.html
2899,Golden State Warriors,2019,2019,/players/c/couside01.html
2900,Houston Rockets,2021,2021,/players/c/couside01.html
2901,Los Angeles Clippers,2021,2021,/players/c/couside01.html
2902,Milwaukee Bucks,2022,2022,/players/c/couside01.html
2903,Denver Nuggets,2022,2022,/players/c/couside01.html
2904,Boston Celtics,1951,1963,/players/c/cousybo01.html
2905,Cincinnati Royals,1970,1970,/players/c/cousybo01.html
2906,Houston Rockets,2014,2020,/players/c/covinro01.html
2907,Philadelphia 76ers,2015,2019,/players/c/covinro01.html
2908,Minnesota Timberwolves,2019,2020,/players/c/covinro01.html
2909,Minnesota Timberwolves,2020,2020,/players/c/covinro01.html
2910,Portland Trail Blazers,2021,2021,/players/c/covinro01.html
2911,Portland Trail Blazers,2022,2022,/players/c/covinro01.html
2912,Los Angeles Clippers,2022,2022,/players/c/covinro01.html
2913,Boston Celtics,1971,1980,/players/c/cowenda01.html
2914,Milwaukee Bucks,1983,1983,/players/c/cowenda01.html
2915,Washington Bullets,1983,1983,/players/c/coxch01.html
2916,Chicago Zephyrs,1963,1963,/players/c/coxjo01.html
2917,Golden State Warriors,1978,1979,/players/c/coxwe01.html
2918,Portland Trail Blazers,2014,2017,/players/c/crabbal01.html
2919,Brooklyn Nets,2018,2019,/players/c/crabbal01.html
2920,Atlanta Hawks,2020,2020,/players/c/crabbal01.html
2921,Minnesota Timberwolves,2020,2020,/players/c/crabbal01.html
2922,Denver Nuggets,2018,2018,/players/c/craigto01.html
2923,Denver Nuggets,2019,2020,/players/c/craigto01.html
2924,Milwaukee Bucks,2021,2021,/players/c/craigto01.html
2925,Phoenix Suns,2021,2021,/players/c/craigto01.html
2926,Indiana Pacers,2022,2022,/players/c/craigto01.html
2927,Phoenix Suns,2022,2022,/players/c/craigto01.html
2928,Atlanta Hawks,1998,2004,/players/c/crawfch01.html
2929,New York Knicks,1967,1968,/players/c/crawffr01.html
2930,Los Angeles Lakers,1968,1969,/players/c/crawffr01.html
2931,Milwaukee Bucks,1970,1970,/players/c/crawffr01.html
2932,Buffalo Braves,1971,1971,/players/c/crawffr01.html
2933,Philadelphia 76ers,1971,1971,/players/c/crawffr01.html
2934,Chicago Bulls,2001,2004,/players/c/crawfja01.html
2935,New York Knicks,2005,2009,/players/c/crawfja01.html
2936,Golden State Warriors,2009,2009,/players/c/crawfja01.html
2937,Atlanta Hawks,2010,2011,/players/c/crawfja01.html
2938,Portland Trail Blazers,2012,2012,/players/c/crawfja01.html
2939,Los Angeles Clippers,2013,2017,/players/c/crawfja01.html
2940,Minnesota Timberwolves,2018,2018,/players/c/crawfja01.html
2941,Phoenix Suns,2019,2019,/players/c/crawfja01.html
2942,Brooklyn Nets,2020,2020,/players/c/crawfja01.html
2943,New York Knicks,2009,2009,/players/c/crawfjo01.html
2944,Atlanta Hawks,2011,2011,/players/c/crawfjo02.html
2945,Washington Wizards,2011,2011,/players/c/crawfjo02.html
2946,Washington Wizards,2012,2013,/players/c/crawfjo02.html
2947,Boston Celtics,2013,2014,/players/c/crawfjo02.html
2948,Golden State Warriors,2014,2014,/players/c/crawfjo02.html
2949,New Orleans Pelicans,2017,2017,/players/c/crawfjo02.html
2950,New Orleans Pelicans,2018,2018,/players/c/crawfjo02.html
2951,Brooklyn Nets,2019,2019,/players/c/creekmi01.html
2952,Minnesota Timberwolves,2019,2019,/players/c/creekmi01.html
2953,Atlanta Hawks,1976,1976,/players/c/creigji01.html
2954,Golden State Warriors,1986,1986,/players/c/creviro01.html
2955,Detroit Pistons,1986,1986,/players/c/creviro01.html
2956,Boston Celtics,1947,1947,/players/c/crislha01.html
2957,Los Angeles Lakers,2002,2002,/players/c/crispjo01.html
2958,Phoenix Suns,2002,2002,/players/c/crispjo01.html
2959,Atlanta Hawks,1978,1985,/players/c/crissch01.html
2960,San Diego Clippers,1982,1982,/players/c/crissch01.html
2961,Milwaukee Bucks,1983,1984,/players/c/crissch01.html
2962,Oakland Oaks,1969,1969,/players/c/critcru01.html
2963,Phoenix Suns,1988,1989,/players/c/critewi01.html
2964,Los Angeles Lakers,2008,2008,/players/c/crittja01.html
2965,Memphis Grizzlies,2008,2009,/players/c/crittja01.html
2966,Washington Wizards,2009,2009,/players/c/crittja01.html
2967,Denver Nuggets,1950,1950,/players/c/crockdi01.html
2968,Indianapolis Olympians,1952,1952,/players/c/crockdi01.html
2969,Milwaukee Hawks,1952,1952,/players/c/crockdi01.html
2970,Milwaukee Hawks,1953,1953,/players/c/crockdi01.html
2971,Texas Chaparrals,1971,1971,/players/c/croftbo01.html
2972,Kentucky Colonels,1971,1971,/players/c/croftbo01.html
2973,Denver Nuggets,1979,1979,/players/c/crompge01.html
2974,Portland Trail Blazers,1981,1981,/players/c/crompge01.html
2975,Milwaukee Bucks,1982,1982,/players/c/crompge01.html
2976,San Antonio Spurs,1983,1983,/players/c/crompge01.html
2977,Cleveland Cavaliers,1984,1984,/players/c/crompge01.html
2978,Kansas City Kings,1980,1980,/players/c/crosbte01.html
2979,Indiana Pacers,1998,2006,/players/c/croshau01.html
2980,Dallas Mavericks,2007,2007,/players/c/croshau01.html
2981,Golden State Warriors,2008,2008,/players/c/croshau01.html
2982,Milwaukee Bucks,2009,2009,/players/c/croshau01.html
2983,San Antonio Spurs,2009,2009,/players/c/croshau01.html
2984,Los Angeles Clippers,1986,1986,/players/c/crossje01.html
2985,Seattle SuperSonics,1971,1973,/players/c/crosspe01.html
2986,Kansas City-Omaha Kings,1973,"Omaha Kings, 1973",/players/c/crosspe01.html
2987,Golden State Warriors,1984,1984,/players/c/crossru01.html
2988,Philadelphia Warriors,1948,1948,/players/c/crossch01.html
2989,Philadelphia Warriors,1949,1950,/players/c/crossch01.html
2990,Utah Jazz,1993,1995,/players/c/crottjo01.html
2991,Cleveland Cavaliers,1996,1996,/players/c/crottjo01.html
2992,Miami Heat,1997,1997,/players/c/crottjo01.html
2993,Portland Trail Blazers,1998,1999,/players/c/crottjo01.html
2994,Seattle SuperSonics,1999,1999,/players/c/crottjo01.html
2995,Detroit Pistons,2000,2000,/players/c/crottjo01.html
2996,Utah Jazz,2001,2001,/players/c/crottjo01.html
2997,Utah Jazz,2002,2002,/players/c/crottjo01.html
2998,Denver Nuggets,2003,2003,/players/c/crottjo01.html
2999,Anaheim Amigos,1968,1968,/players/c/crowbi01.html
3000,New Jersey Nets,1978,1978,/players/c/crowma01.html
3001,Utah Jazz,1992,1992,/players/c/crowdco01.html
3002,San Antonio Spurs,1995,1995,/players/c/crowdco01.html
3003,Dallas Mavericks,2013,2015,/players/c/crowdja01.html
3004,Boston Celtics,2015,2017,/players/c/crowdja01.html
3005,Cleveland Cavaliers,2018,2018,/players/c/crowdja01.html
3006,Utah Jazz,2018,2019,/players/c/crowdja01.html
3007,Memphis Grizzlies,2020,2020,/players/c/crowdja01.html
3008,Miami Heat,2020,2020,/players/c/crowdja01.html
3009,Phoenix Suns,2021,2022,/players/c/crowdja01.html
3010,Miami Floridians,1970,1970,/players/c/cuetoal01.html
3011,Memphis Pros,1971,1971,/players/c/cuetoal01.html
3012,Minnesota Timberwolves,2020,2021,/players/c/culveja01.html
3013,Memphis Grizzlies,2022,2022,/players/c/culveja01.html
3014,Portland Trail Blazers,2022,2022,/players/c/cumbeja01.html
3015,Milwaukee Bucks,1980,1982,/players/c/cummipa01.html
3016,Dallas Mavericks,1983,1984,/players/c/cummipa01.html
3017,New York Knicks,1985,1988,/players/c/cummipa01.html
3018,Miami Heat,1989,1990,/players/c/cummipa01.html
3019,Utah Jazz,1991,1991,/players/c/cummipa01.html
3020,San Diego Clippers,1983,1983,/players/c/cummite01.html
3021,San Diego Clippers,1984,1984,/players/c/cummite01.html
3022,Milwaukee Bucks,1985,1986,/players/c/cummite01.html
3023,Milwaukee Bucks,1987,1989,/players/c/cummite01.html
3024,San Antonio Spurs,1990,1995,/players/c/cummite01.html
3025,Milwaukee Bucks,1996,1996,/players/c/cummite01.html
3026,Seattle SuperSonics,1997,1997,/players/c/cummite01.html
3027,Philadelphia 76ers,1998,1998,/players/c/cummite01.html
3028,New York Knicks,1998,1998,/players/c/cummite01.html
3029,Golden State Warriors,1999,2000,/players/c/cummite01.html
3030,Golden State Warriors,2000,2001,/players/c/cummivo01.html
3031,Philadelphia 76ers,2002,2002,/players/c/cummivo01.html
3032,Philadelphia 76ers,1966,1976,/players/c/cunnibi01.html
3033,Carolina Cougars,1973,1974,/players/c/cunnibi01.html
3034,Detroit Pistons,2022,2022,/players/c/cunnica01.html
3035,Portland Trail Blazers,2010,2011,/players/c/cunnida01.html
3036,Charlotte Bobcats,2011,2011,/players/c/cunnida01.html
3037,Memphis Grizzlies,2012,2012,/players/c/cunnida01.html
3038,Minnesota Timberwolves,2013,2014,/players/c/cunnida01.html
3039,New Orleans Pelicans,2015,2016,/players/c/cunnida01.html
3040,New Orleans Pelicans,2017,2018,/players/c/cunnida01.html
3041,Brooklyn Nets,2018,2018,/players/c/cunnida01.html
3042,San Antonio Spurs,2019,2019,/players/c/cunnida01.html
3043,Milwaukee Bucks,1969,1975,/players/c/cunnidi01.html
3044,Houston Rockets,1972,1972,/players/c/cunnidi01.html
3045,Milwaukee Bucks,1973,1973,/players/c/cunnidi01.html
3046,Dallas Mavericks,2013,2013,/players/c/cunnija01.html
3047,Atlanta Hawks,2014,2014,/players/c/cunnija01.html
3048,Sacramento Kings,2014,2014,/players/c/cunnija01.html
3049,Los Angeles Clippers,2015,2015,/players/c/cunnija01.html
3050,Cleveland Cavaliers,2016,2016,/players/c/cunnija01.html
3051,Milwaukee Bucks,2016,2016,/players/c/cunnija01.html
3052,Utah Jazz,1998,1998,/players/c/cunniwi01.html
3053,Philadelphia 76ers,1998,1998,/players/c/cunniwi01.html
3054,Toronto Raptors,1999,1999,/players/c/cunniwi01.html
3055,New Jersey Nets,1999,1999,/players/c/cunniwi01.html
3056,Dallas Mavericks,1993,1993,/players/c/curcira01.html
3057,Providence Steamrollers,1947,1947,/players/c/curear01.html
3058,Philadelphia 76ers,1981,1983,/players/c/curetea01.html
3059,Detroit Pistons,1984,1986,/players/c/curetea01.html
3060,Chicago Bulls,1987,1987,/players/c/curetea01.html
3061,Los Angeles Clippers,1987,1987,/players/c/curetea01.html
3062,Los Angeles Clippers,1988,1988,/players/c/curetea01.html
3063,Charlotte Hornets,1989,1991,/players/c/curetea01.html
3064,Houston Rockets,1994,1994,/players/c/curetea01.html
3065,Toronto Raptors,1997,1997,/players/c/curetea01.html
3066,Detroit Pistons,1995,1995,/players/c/curlebi01.html
3067,Minnesota Timberwolves,1998,1998,/players/c/curlebi01.html
3068,Minnesota Timberwolves,1999,1999,/players/c/curlebi01.html
3069,Houston Rockets,2000,2000,/players/c/curlebi01.html
3070,Golden State Warriors,2000,2000,/players/c/curlebi01.html
3071,Dallas Mavericks,2001,2001,/players/c/curlebi01.html
3072,Golden State Warriors,2001,2001,/players/c/curlebi01.html
3073,Rochester Royals,1949,1950,/players/c/currafr01.html
3074,Utah Jazz,1987,1987,/players/c/curryde01.html
3075,Cleveland Cavaliers,1988,1988,/players/c/curryde01.html
3076,Charlotte Hornets,1989,1998,/players/c/curryde01.html
3077,Milwaukee Bucks,1999,1999,/players/c/curryde01.html
3078,Toronto Raptors,2000,2002,/players/c/curryde01.html
3079,Chicago Bulls,2002,2005,/players/c/curryed01.html
3080,New York Knicks,2006,2010,/players/c/curryed01.html
3081,Miami Heat,2012,2012,/players/c/curryed01.html
3082,Dallas Mavericks,2013,2013,/players/c/curryed01.html
3083,Los Angeles Clippers,2010,2010,/players/c/curryja01.html
3084,Philadelphia 76ers,1994,1994,/players/c/currymi01.html
3085,Washington Bullets,1996,1996,/players/c/currymi01.html
3086,Detroit Pistons,1996,2003,/players/c/currymi01.html
3087,Detroit Pistons,1997,2001,/players/c/currymi01.html
3088,Milwaukee Bucks,1998,1999,/players/c/currymi01.html
3089,Toronto Raptors,2004,2004,/players/c/currymi01.html
3090,Indiana Pacers,2005,2005,/players/c/currymi01.html
3091,Memphis Grizzlies,2014,2014,/players/c/curryse01.html
3092,Cleveland Cavaliers,2014,2014,/players/c/curryse01.html
3093,Phoenix Suns,2015,2015,/players/c/curryse01.html
3094,Sacramento Kings,2016,2016,/players/c/curryse01.html
3095,Dallas Mavericks,2017,2020,/players/c/curryse01.html
3096,Portland Trail Blazers,2019,2019,/players/c/curryse01.html
3097,Philadelphia 76ers,2021,2022,/players/c/curryse01.html
3098,Brooklyn Nets,2022,2022,/players/c/curryse01.html
3099,Golden State Warriors,2010,2010,/players/c/curryst01.html
3100,Golden State Warriors,2011,2022,/players/c/curryst01.html
3101,Denver Nuggets,1996,1996,/players/c/cvetkra01.html
3102,Kansas City-Omaha Kings,1974,"Omaha Kings, 1974",/players/d/dantomi01.html
3103,Kansas City-Omaha Kings,1975,"Omaha Kings, 1975",/players/d/dantomi01.html
3104,Kansas City Kings,1976,1976,/players/d/dantomi01.html
3105,Spirits of St. Louis,1976,1976,/players/d/dantomi01.html
3106,San Antonio Spurs,1977,1977,/players/d/dantomi01.html
3107,Oakland Oaks,1968,1968,/players/d/dabicmi01.html
3108,Philadelphia Warriors,1952,1952,/players/d/dahleed01.html
3109,Chicago Bulls,1983,1986,/players/d/dailequ01.html
3110,Los Angeles Clippers,1987,1987,/players/d/dailequ01.html
3111,Los Angeles Clippers,1988,1989,/players/d/dailequ01.html
3112,Seattle SuperSonics,1990,1991,/players/d/dailequ01.html
3113,Seattle SuperSonics,1992,1992,/players/d/dailequ01.html
3114,Philadelphia 76ers,2002,2009,/players/d/dalemsa01.html
3115,Philadelphia 76ers,2010,2010,/players/d/dalemsa01.html
3116,Sacramento Kings,2011,2011,/players/d/dalemsa01.html
3117,Houston Rockets,2012,2012,/players/d/dalemsa01.html
3118,Milwaukee Bucks,2013,2013,/players/d/dalemsa01.html
3119,Dallas Mavericks,2014,2014,/players/d/dalemsa01.html
3120,New York Knicks,2015,2015,/players/d/dalemsa01.html
3121,Philadelphia Warriors,1947,1949,/players/d/dallmho01.html
3122,Indiana Pacers,1997,1997,/players/d/dampier01.html
3123,Golden State Warriors,1998,1998,/players/d/dampier01.html
3124,Golden State Warriors,1999,2004,/players/d/dampier01.html
3125,Dallas Mavericks,2005,2010,/players/d/dampier01.html
3126,Miami Heat,2011,2011,/players/d/dampier01.html
3127,Atlanta Hawks,2012,2012,/players/d/dampier01.html
3128,Kentucky Colonels,1968,1970,/players/d/dampilo01.html
3129,Kentucky Colonels,1971,1976,/players/d/dampilo01.html
3130,San Antonio Spurs,1977,1979,/players/d/dampilo01.html
3131,Milwaukee Bucks,1970,1982,/players/d/dandrbo01.html
3132,Washington Bullets,1978,1981,/players/d/dandrbo01.html
3133,Vancouver Grizzlies,1998,1998,/players/d/daniean01.html
3134,San Antonio Spurs,1999,2002,/players/d/daniean01.html
3135,Portland Trail Blazers,2003,2003,/players/d/daniean01.html
3136,Seattle SuperSonics,2004,2005,/players/d/daniean01.html
3137,Washington Wizards,2006,2009,/players/d/daniean01.html
3138,New Orleans Hornets,2009,2009,/players/d/daniean01.html
3139,Philadelphia 76ers,2011,2011,/players/d/daniean01.html
3140,Sacramento Kings,2005,2005,/players/d/danieer01.html
3141,San Antonio Spurs,1993,1994,/players/d/daniell01.html
3142,Philadelphia 76ers,1995,1995,/players/d/daniell01.html
3143,Philadelphia 76ers,1995,1995,/players/d/daniell01.html
3144,Los Angeles Lakers,1995,1995,/players/d/daniell01.html
3145,Sacramento Kings,1997,1997,/players/d/daniell01.html
3146,New Jersey Nets,1997,1997,/players/d/daniell01.html
3147,Toronto Raptors,1998,1998,/players/d/daniell01.html
3148,Dallas Mavericks,2004,2006,/players/d/daniema01.html
3149,Indiana Pacers,2007,2009,/players/d/daniema01.html
3150,Boston Celtics,2010,2010,/players/d/daniema01.html
3151,Boston Celtics,2011,2011,/players/d/daniema01.html
3152,Boston Celtics,2012,2012,/players/d/daniema01.html
3153,Milwaukee Bucks,2013,2013,/players/d/daniema01.html
3154,Minnesota Muskies,1968,1968,/players/d/danieme01.html
3155,Indiana Pacers,1969,1974,/players/d/danieme01.html
3156,Memphis Sounds,1975,1975,/players/d/danieme01.html
3157,New York Nets,1977,1977,/players/d/danieme01.html
3158,Houston Rockets,2014,2015,/players/d/danietr01.html
3159,Minnesota Timberwolves,2015,2015,/players/d/danietr01.html
3160,Charlotte Hornets,2015,2016,/players/d/danietr01.html
3161,Memphis Grizzlies,2017,2017,/players/d/danietr01.html
3162,Phoenix Suns,2018,2019,/players/d/danietr01.html
3163,Los Angeles Lakers,2020,2020,/players/d/danietr01.html
3164,Denver Nuggets,2020,2020,/players/d/danietr01.html
3165,Miami Heat,1996,1997,/players/d/danilsa01.html
3166,Dallas Mavericks,1997,1997,/players/d/danilsa01.html
3167,Buffalo Braves,1977,1977,/players/d/dantlad01.html
3168,Indiana Pacers,1978,1978,/players/d/dantlad01.html
3169,Los Angeles Lakers,1978,1979,/players/d/dantlad01.html
3170,Utah Jazz,1980,1986,/players/d/dantlad01.html
3171,Detroit Pistons,1987,1989,/players/d/dantlad01.html
3172,Dallas Mavericks,1989,1990,/players/d/dantlad01.html
3173,Milwaukee Bucks,1991,1991,/players/d/dantlad01.html
